Sample_ID,Location,pH,Turbidity_NTU,TDS_ppm,Temperature_C,Quality_Label
WS095,Borewell-A,5.87,24.74,1082.9,33.5,Unsafe
WS096,Residential-Zone,6.76,2.89,374.2,18.7,Safe
WS097,Pond-Sample,5.67,16.11,696.5,23.9,Unsafe
WS098,River-Point-1,7.32,1.32,303.8,28.1,Safe
WS099,Tap-Water-1,10.29,15.01,919.6,28.0,Unsafe
WS100,Borewell-B,9.71,17.14,1108.0,22.6,Unsafe
WS101,Lake-Sample,7.0,3.41,306.9,22.3,Safe
WS102,Tap-Water-1,7.06,1.19,160.7,19.9,Safe
WS103,Pond-Sample,7.1,0.86,286.0,22.9,Safe
WS104,River-Point-2,7.27,4.63,52.4,29.7,Safe
WS105,Pond-Sample,7.56,4.19,373.3,24.4,Safe
WS106,Residential-Zone,8.96,19.51,779.6,29.7,Unsafe
WS107,Borewell-A,7.46,1.19,266.5,24.4,Safe
WS108,Borewell-A,6.54,2.54,296.9,24.6,Safe
WS109,Borewell-B,5.88,6.05,705.0,24.5,Unsafe
WS110,Tap-Water-1,7.43,4.24,484.3,19.5,Safe
WS111,Pond-Sample,7.12,1.42,220.7,29.1,Safe
WS112,Tap-Water-1,5.83,9.83,747.3,18.3,Unsafe
WS113,Lake-Sample,5.58,22.67,953.2,31.3,Unsafe
WS114,Tap-Water-2,7.3,2.93,247.4,24.9,Safe
WS115,Borewell-A,7.52,2.23,294.6,28.9,Safe
WS116,River-Point-1,6.45,3.79,362.2,20.0,Unsafe
WS117,Borewell-A,6.89,4.52,404.9,19.8,Safe
WS118,Borewell-A,7.0,1.42,371.3,23.9,Safe
WS119,Residential-Zone,8.81,14.68,1143.6,25.0,Unsafe
WS120,Pond-Sample,9.97,6.23,1138.6,26.3,Unsafe
WS121,Residential-Zone,8.95,12.51,804.6,23.5,Unsafe
WS122,Residential-Zone,7.36,1.19,313.8,24.1,Safe
WS123,Industrial-Zone,9.73,16.74,1227.0,33.4,Unsafe
WS124,Pond-Sample,6.96,0.81,84.8,19.3,Safe
WS125,Industrial-Zone,7.72,2.53,101.0,29.8,Safe
WS126,River-Point-2,6.07,10.32,1147.1,22.6,Unsafe
WS127,Lake-Sample,5.86,8.17,973.1,32.3,Unsafe
WS128,Tap-Water-1,5.09,17.15,629.6,33.3,Unsafe
WS129,Tap-Water-1,9.4,11.92,1302.4,20.6,Unsafe
WS130,Residential-Zone,8.94,14.72,1101.6,32.2,Unsafe
WS131,Pond-Sample,6.93,3.87,144.5,28.8,Safe
WS132,Borewell-A,9.67,11.59,1242.7,25.6,Unsafe
WS133,Tap-Water-1,7.26,2.3,301.8,19.9,Safe
WS134,Borewell-A,10.03,11.14,1179.6,23.2,Unsafe
WS135,Tap-Water-2,7.69,1.64,138.3,24.1,Safe
WS136,Pond-Sample,5.86,16.58,1248.7,31.1,Unsafe
WS137,Pond-Sample,6.33,4.35,423.6,22.8,Unsafe
WS138,Lake-Sample,9.22,6.25,677.0,19.2,Unsafe
WS139,River-Point-1,9.82,22.96,1335.7,21.8,Unsafe
WS140,Residential-Zone,7.07,4.24,205.3,27.3,Safe
WS141,Industrial-Zone,7.16,1.83,476.8,27.2,Safe
WS142,Pond-Sample,5.46,21.2,982.7,15.4,Unsafe
WS143,Industrial-Zone,6.66,1.13,425.7,29.8,Safe
WS144,Residential-Zone,7.5,3.61,357.4,27.9,Safe
WS145,Lake-Sample,6.9,2.32,273.9,26.6,Safe
WS146,Lake-Sample,10.31,19.91,825.7,27.7,Unsafe
WS147,Lake-Sample,9.4,20.65,979.8,22.1,Unsafe
WS148,Tap-Water-1,7.2,0.87,321.4,20.9,Safe
WS149,Lake-Sample,7.53,3.75,324.7,29.4,Safe
WS150,Tap-Water-2,7.15,4.72,379.7,20.6,Safe
WS151,River-Point-2,7.31,4.31,479.9,19.9,Safe
WS152,Industrial-Zone,7.09,0.98,83.8,26.7,Safe
WS153,Industrial-Zone,6.82,0.84,85.0,18.0,Safe
WS154,River-Point-1,9.29,21.34,1465.9,30.8,Unsafe
WS155,Industrial-Zone,8.12,1.33,293.9,28.5,Safe
WS156,Pond-Sample,7.52,3.37,491.3,28.8,Safe
WS157,Residential-Zone,8.68,23.58,762.5,26.4,Unsafe
WS158,Residential-Zone,4.7,23.56,1474.0,33.9,Unsafe
WS159,Borewell-B,7.57,0.75,254.8,24.3,Safe
WS160,Tap-Water-2,9.04,15.14,1396.5,25.6,Unsafe
WS161,Residential-Zone,7.13,2.93,405.8,21.8,Safe
WS162,Borewell-B,7.02,2.42,444.5,23.0,Safe
WS163,River-Point-1,7.49,4.09,499.1,22.2,Safe
WS164,Borewell-A,7.22,2.66,332.4,28.5,Safe
WS165,Industrial-Zone,6.53,3.82,157.4,19.3,Safe
WS166,Pond-Sample,5.0,11.27,1419.3,15.9,Unsafe
WS167,Borewell-A,6.5,1.06,480.4,27.6,Safe
WS168,Lake-Sample,10.27,17.42,1413.4,34.8,Unsafe
WS169,Tap-Water-2,7.67,2.81,153.8,20.1,Safe
WS170,Residential-Zone,6.13,7.1,1472.2,32.7,Unsafe
WS171,River-Point-1,7.85,2.86,167.1,24.2,Safe
WS172,Borewell-B,7.34,1.51,150.7,24.4,Safe
WS173,Industrial-Zone,7.05,4.37,255.8,22.7,Safe
WS174,Industrial-Zone,5.95,18.45,1095.8,16.7,Unsafe
WS175,Pond-Sample,9.92,15.42,672.9,19.4,Unsafe
WS176,Lake-Sample,7.56,3.07,348.0,24.5,Safe
WS177,Borewell-A,7.21,4.09,346.3,28.2,Safe
WS178,Industrial-Zone,10.37,17.75,1277.4,18.2,Unsafe
WS179,Residential-Zone,6.98,4.59,50.5,24.7,Safe
WS180,Tap-Water-2,4.64,18.0,833.8,27.7,Unsafe
WS181,Pond-Sample,7.46,1.08,177.5,18.2,Safe
WS182,Industrial-Zone,7.68,4.69,96.1,29.2,Safe
WS183,River-Point-2,9.95,19.46,1026.2,16.2,Unsafe
WS184,Pond-Sample,5.98,14.47,1182.8,26.9,Unsafe
WS185,Tap-Water-2,9.31,20.64,1215.0,23.9,Unsafe
WS186,Borewell-B,6.62,2.42,253.1,20.0,Safe
WS187,Tap-Water-2,7.53,3.98,153.5,19.6,Safe
WS188,River-Point-1,7.0,1.18,244.6,29.3,Safe
WS189,Lake-Sample,6.59,4.93,234.2,28.7,Safe
WS190,Borewell-B,9.84,16.69,1024.4,25.9,Unsafe
WS191,Industrial-Zone,6.92,3.99,396.9,28.1,Safe
WS192,River-Point-2,9.16,23.5,1155.0,30.9,Unsafe
WS193,Industrial-Zone,9.75,14.18,780.5,24.8,Unsafe
WS194,Tap-Water-1,7.54,1.9,254.8,18.1,Safe
WS195,Borewell-B,6.94,2.28,488.6,26.7,Safe
WS196,Industrial-Zone,6.81,1.59,494.0,19.7,Safe
WS197,Tap-Water-1,7.18,3.66,301.8,18.1,Safe
WS198,Borewell-A,7.1,0.65,85.4,22.8,Safe
WS199,Borewell-B,6.93,1.4,361.9,27.9,Safe
WS200,Residential-Zone,4.68,23.03,1135.3,27.3,Unsafe
